subject,run,trial,set_size,probe,response,correct,response_time
001,1,1,3,target,old,1,1.358005439400003
001,1,2,7,lure,new,1,1.0815043318999997
001,1,3,3,target,old,1,1.1027044168000089
001,1,4,7,target,old,1,1.086204350700001
001,1,5,7,lure,new,1,1.398405601200011
001,1,6,3,lure,new,1,1.1426045766000072
001,1,7,3,lure,new,1,0.9956039877999956
001,1,8,3,target,old,1,1.4945059862000107
001,1,9,3,target,old,1,1.195304787699996
001,1,10,3,target,old,1,1.1981047989000047
001,1,11,5,target,old,1,0.9961039898000195
001,1,12,5,target,old,1,0.960503847200016
001,1,13,5,target,old,1,0.7800031241999932
001,1,14,7,lure,new,1,1.2149048661999586
001,1,15,3,target,old,1,0.7683030773000041
001,1,16,5,lure,new,1,1.468605882400027
001,1,17,5,target,old,1,0.9126036554000052
001,1,18,7,target,old,1,1.1448045854000384
001,1,19,5,lure,new,1,1.3336053415999913
001,1,20,5,target,new,0,1.1136044603999835
001,1,21,5,target,old,1,0.9429037767000636
001,1,22,7,lure,new,1,1.0617042525000215
001,1,23,7,target,old,1,0.787203153000064
001,1,24,5,lure,new,1,1.159304643500036
001,1,25,7,lure,new,1,1.1095044440000947
001,2,1,7,lure,new,1,0.7164968568000027
001,2,2,3,target,old,1,0.5921974020999983
001,2,3,5,lure,new,1,0.6806970137999997
001,2,4,5,target,new,0,0.8130964329999983
001,2,5,5,target,old,1,1.0517953857999913
001,2,6,5,lure,new,1,0.8271963711000012
001,2,7,7,target,old,1,0.8813961333999885
001,2,8,3,lure,new,1,1.0354954574000033
001,2,9,3,target,old,1,0.926195936799985
001,2,10,7,target,old,1,0.9259959377999962
001,2,11,3,target,old,1,0.7624966550000067
001,2,12,7,lure,new,1,1.5030934060999925
001,2,13,7,target,old,1,0.9105960053000217
001,2,14,3,target,old,1,0.6543971292000492
001,2,15,5,lure,new,1,0.780996573799996
001,2,16,5,lure,new,1,0.9706957415999682
001,2,17,7,target,old,1,1.1333950279000078
001,2,18,3,target,old,1,0.5612975376000122
001,2,19,3,target,old,1,1.0299954815000092
001,2,20,3,lure,new,1,0.7781965861000231
001,2,21,7,lure,new,1,0.9928956443000061
001,2,22,5,target,old,1,0.821596395800043
001,2,23,7,lure,old,0,1.2091946953999013
001,2,24,3,lure,new,1,1.1770948362000127
001,2,25,5,target,old,1,0.9339959027000759
001,3,1,7,target,old,1,0.7878010517999989
001,3,2,7,lure,new,1,1.1091014807999997
001,3,3,3,lure,new,1,0.8524011379999905
001,3,4,3,lure,new,1,0.6920009240000127
001,3,5,7,target,old,1,0.6684008924000011
001,3,6,5,target,new,0,0.6083008120999978
001,3,7,3,target,old,1,0.9134012195999901
001,3,8,3,target,old,1,0.6697008941999911
001,3,9,3,lure,new,1,1.0793014410000126
001,3,10,7,target,old,1,0.5888007860999949
001,3,11,7,target,old,1,0.8828011786000047
001,3,12,5,lure,new,1,0.8163010898999801
001,3,13,7,target,old,1,0.8076010783000243
001,3,14,3,target,old,1,0.8623011513000165
001,3,15,3,lure,new,1,0.7922010577000265
001,3,16,5,lure,old,0,1.164801555199972
001,3,17,7,lure,new,1,0.7303009749999774
001,3,18,5,target,old,1,0.8039010733000396
001,3,19,5,target,old,1,0.6374008510999829
001,3,20,7,target,old,1,0.8683011593000174
001,3,21,5,lure,new,1,0.8992012005000447
001,3,22,5,lure,new,1,0.7840010467000411
001,3,23,7,target,old,1,0.6905009219000249
001,3,24,3,target,old,1,0.5724007643000277
001,3,25,5,target,old,1,0.9374012516000221
001,4,1,7,lure,new,1,0.7316981857000009
001,4,2,5,lure,new,1,0.6344984267000058
001,4,3,5,target,old,1,0.8039980063999934
001,4,4,3,lure,new,1,0.7885980445999934
001,4,5,3,target,old,1,0.7470981474999974
001,4,6,7,target,old,1,0.5574986177000198
001,4,7,7,lure,new,1,1.1774970803000144
001,4,8,7,target,old,1,0.8784978216999946
001,4,9,3,lure,new,1,0.7224982086000011
001,4,10,5,lure,new,1,0.8518978877000052
001,4,11,5,target,old,1,0.6144984762999854
001,4,12,5,lure,new,1,0.6056984981000255
001,4,13,7,target,old,1,0.5623986054999932
001,4,14,5,target,old,1,0.6814983102000269
001,4,15,7,lure,old,0,0.6342984272999956
001,4,16,3,target,old,1,0.7168982224000047
001,4,17,3,lure,new,1,0.6623983575000238
001,4,18,3,lure,new,1,0.9512976412000285
001,4,19,5,lure,new,1,0.8246979551000209
001,4,20,7,lure,new,1,0.8683978466999633
001,4,21,5,target,old,1,0.5428986539000107
001,4,22,3,lure,new,1,0.864797855699976
001,4,23,5,lure,new,1,1.0251974579999796
001,4,24,7,lure,new,1,0.9125977372000307
001,4,25,3,target,old,1,0.6888982918000011
002,1,1,7,lure,new,1,1.7141990191999987
002,1,2,5,target,old,1,1.1465993439000002
002,1,3,7,target,old,1,1.0524993978000055
002,1,4,5,lure,new,1,1.8658989322999986
002,1,5,3,target,old,1,1.011999420899997
002,1,6,7,lure,new,1,1.4832991513000024
002,1,7,3,target,old,1,0.8761994986000161
002,1,8,5,target,old,1,0.7861995501000081
002,1,9,5,lure,new,1,1.2160993042000143
002,1,10,5,target,old,1,1.3005992557999946
002,1,11,5,target,old,1,0.7738995572000249
002,1,12,7,target,old,1,1.093299374399976
002,1,13,3,target,old,1,0.912099478000016
002,1,14,5,target,old,1,0.8489995141000009
002,1,15,5,target,old,1,0.6820996097000034
002,1,16,3,target,old,1,0.7522995695999839
002,1,17,7,target,old,1,0.7434995744999924
002,1,18,7,lure,new,1,1.3234992426999952
002,1,19,3,lure,new,1,0.9664994469999897
002,1,20,7,lure,new,1,1.1446993449999354
002,1,21,3,target,old,1,0.8537995115000285
002,1,22,7,lure,new,1,1.0702993876000164
002,1,23,3,target,old,1,0.7910995473000639
002,1,24,3,lure,new,1,1.0654993903000332
002,1,25,5,lure,new,1,0.8861994929000048
002,2,1,3,target,old,1,0.547297651200001
002,2,2,7,lure,new,1,0.916896064999996
002,2,3,7,target,old,1,1.7590924506999954
002,2,4,3,lure,new,1,0.9500959225999992
002,2,5,5,target,old,1,0.9189960560999992
002,2,6,5,lure,new,1,0.9679958458000044
002,2,7,7,lure,new,1,1.0653954278000128
002,2,8,5,target,old,1,0.993495736299991
002,2,9,3,target,old,1,0.8172964926000077
002,2,10,3,lure,new,1,0.9717958294999676
002,2,11,3,target,old,1,0.7684967019999931
002,2,12,3,target,old,1,0.8403963933999989
002,2,13,7,lure,new,1,1.021895614400023
002,2,14,5,target,old,1,1.0639954338000166
002,2,15,5,lure,new,1,0.7513967753999964
002,2,16,7,target,old,1,0.8374964057999819
002,2,17,3,lure,new,1,0.8450963732000218
002,2,18,5,lure,new,1,0.8629962964000129
002,2,19,5,lure,new,1,0.7620967295000014
002,2,20,3,target,old,1,0.6807970782999746
002,2,21,7,lure,new,1,1.1552950420000343
002,2,22,7,target,old,1,0.9104960925999421
002,2,23,7,target,old,1,0.9724958264999941
002,2,24,3,target,old,1,0.684397062799917
002,2,25,5,target,old,1,0.6579971761999559
002,3,1,3,target,old,1,0.6210985192000003
002,3,2,3,target,old,1,0.752298206399999
002,3,3,7,target,old,1,1.0352975315999942
002,3,4,7,target,old,1,0.9580977156999921
002,3,5,7,lure,new,1,0.8655979363000199
002,3,6,5,target,old,1,0.9450977466999859
002,3,7,5,target,old,1,0.8301980205999939
002,3,8,7,target,old,1,0.939797759399994
002,3,9,3,lure,new,1,0.8630979421999996
002,3,10,3,lure,new,1,1.3456967916000053
002,3,11,5,target,old,1,1.163497226000004
002,3,12,5,lure,new,1,0.9681976916999702
002,3,13,7,target,old,1,0.45079892520004705
002,3,14,5,lure,new,1,0.9223978008000131
002,3,15,7,target,old,1,1.6248961259000225
002,3,16,7,target,old,1,0.9726976809000121
002,3,17,7,lure,new,1,1.2114971116000106
002,3,18,3,target,old,1,0.5489986910000653
002,3,19,3,lure,new,1,1.1775971923999577
002,3,20,7,target,old,1,0.7226982769999495
002,3,21,3,lure,new,1,1.1126973471000383
002,3,22,5,lure,new,1,0.7667981718000192
002,3,23,5,lure,new,1,1.1228973228000996
002,3,24,5,target,old,1,0.49769881340000666
002,3,25,3,target,old,1,0.9297977832000015
002,4,1,5,lure,new,1,0.8262977935000002
002,4,2,7,lure,new,1,0.8535977205999998
002,4,3,5,target,old,1,1.054897183099996
002,4,4,7,target,old,1,0.6311983145000113
002,4,5,5,target,old,1,0.7877978963000061
002,4,6,3,lure,new,1,0.7933978814000113
002,4,7,3,target,old,1,0.5417985532999978
002,4,8,3,target,old,1,0.7238980669999933
002,4,9,3,lure,new,1,0.7550979837000114
002,4,10,7,lure,new,1,1.107597042400016
002,4,11,5,target,old,1,0.6844981721999943
002,4,12,5,lure,new,1,0.9705974081999784
002,4,13,3,lure,new,1,0.8380977619999612
002,4,14,7,lure,new,1,0.914697557400018
002,4,15,5,lure,new,1,1.4815960436999944
002,4,16,5,target,old,1,0.4939986809000061
002,4,17,5,lure,new,1,1.0463972057999626
002,4,18,7,lure,new,1,0.9731974012000251
002,4,19,7,target,old,1,0.5325985778000586
002,4,20,7,target,old,1,0.5657984892000059
002,4,21,3,lure,new,1,0.9049975834000179
002,4,22,5,lure,new,1,0.7907978883000624
002,4,23,3,target,old,1,0.6946981449999612
002,4,24,3,lure,new,1,0.7703979427999457
002,4,25,7,lure,new,1,0.6988981336999132
003,1,1,5,target,old,1,1.8626943155000006
003,1,2,3,target,old,1,1.5928951389000048
003,1,3,7,target,old,1,0.9691970422999958
003,1,4,7,lure,new,1,1.6123950794000024
003,1,5,3,lure,new,1,0.9767970190000028
003,1,6,5,target,old,1,1.39009575770001
003,1,7,3,target,old,1,1.2212962728999912
003,1,8,7,target,old,1,1.2871960716999808
003,1,9,5,target,old,1,1.0068969272000174
003,1,10,5,target,old,1,1.123696570800007
003,1,11,3,target,old,1,1.229096249099996
003,1,12,5,target,old,1,1.9106941690999975
003,1,13,5,target,old,1,0.7626976724000087
003,1,14,5,lure,new,1,2.1007935889000464
003,1,15,5,lure,new,1,1.8928942233000043
003,1,16,3,target,old,1,0.9604970687999526
003,1,17,7,lure,new,1,2.05569372650001
003,1,18,5,lure,new,1,2.152293431700002
003,1,19,3,target,old,1,1.4811954797999647
003,1,20,7,lure,new,1,2.0007938940999566
003,1,21,7,target,old,1,1.4400956050999412
003,1,22,7,lure,new,1,1.87609427459995
003,1,23,3,target,old,1,1.876594273099954
003,1,24,3,lure,new,1,1.5488952732000598
003,1,25,7,lure,new,1,1.8040944942999886
003,2,1,5,target,old,1,1.5225973862999993
003,2,2,7,target,old,1,0.9872983051999995
003,2,3,3,target,old,1,1.2263978946999998
003,2,4,7,lure,new,1,4.1114929421999875
003,2,5,5,lure,new,1,1.2621978333000072
003,2,6,5,lure,new,1,1.262297833100007
003,2,7,3,lure,new,1,1.8093968940000025
003,2,8,7,lure,new,1,1.1425980385999992
003,2,9,5,lure,new,1,1.1123980904000064
003,2,10,7,target,old,1,1.1122980906000066
003,2,11,5,target,old,1,1.1701979911999842
003,2,12,3,target,old,1,1.3639976585000113
003,2,13,3,target,old,1,0.8083986122999818
003,2,14,7,lure,new,1,2.100596394100023
003,2,15,3,target,old,1,1.1939979503000018
003,2,16,3,target,old,1,1.1576980126999956
003,2,17,3,lure,new,1,1.3145977432999985
003,2,18,7,lure,new,1,2.028796517300009
003,2,19,5,lure,new,1,1.2574978412999371
003,2,20,7,target,old,1,1.7706969603999596
003,2,21,7,target,old,1,1.356397671600007
003,2,22,5,target,old,1,0.9714983323000297
003,2,23,3,lure,new,1,1.6305972009000698
003,2,24,5,target,old,1,1.0666981688999613
003,2,25,3,target,old,1,0.8076986134999515
003,3,1,5,lure,new,1,3.1935872082000003
003,3,2,7,target,old,1,1.280094872600003
003,3,3,5,lure,new,1,1.199895193900005
003,3,4,5,lure,new,1,1.7446930116999937
003,3,5,3,target,old,1,1.1000955936000025
003,3,6,7,lure,new,1,1.4246942935000106
003,3,7,5,target,old,1,1.2926948221000032
003,3,8,5,lure,new,1,2.7677889138000182
003,3,9,7,target,old,1,1.547893799999997
003,3,10,5,target,old,1,1.3575945622000063
003,3,11,3,target,old,1,0.8279966835000323
003,3,12,7,target,old,1,1.1481954009999527
003,3,13,7,target,old,1,1.1860952491999797
003,3,14,3,lure,new,1,1.070095713800015
003,3,15,3,target,old,1,0.9499961948999953
003,3,16,5,target,old,1,1.6521933821999824
003,3,17,7,target,old,1,2.1479913963000286
003,3,18,3,lure,new,1,1.4528941804999818
003,3,19,3,lure,new,1,1.1791952767999874
003,3,20,7,target,old,1,0.9807960715000945
003,3,21,7,target,old,1,1.1861952487000735
003,3,22,7,lure,new,1,1.5513937860000624
003,3,23,3,target,old,1,1.2576949623999099
003,3,24,3,lure,new,1,0.8362966501999836
003,3,25,5,target,old,1,1.9311922646999164
003,4,1,3,lure,new,1,1.2546959317000024
003,4,2,5,target,old,1,0.9613968826999937
003,4,3,3,target,old,1,1.1331963256000108
