subject,session,list,item,input,output,study,recall,repeat,intrusion,list_type,list_category,category,response,response_time
1,1,1,TOWEL,1,13,true,true,0,false,pure,obj,obj,3,1.517
1,1,1,LADLE,2,n/a,true,false,0,false,pure,obj,obj,3,1.404
1,1,1,THERMOS,3,n/a,true,false,0,false,pure,obj,obj,3,0.911
1,1,1,LEGO,4,18,true,true,0,false,pure,obj,obj,3,0.883
1,1,1,BACKPACK,5,10,true,true,0,false,pure,obj,obj,3,0.819
1,1,1,JACKHAMMER,6,7,true,true,0,false,pure,obj,obj,1,1.212
1,1,1,LANTERN,7,n/a,true,false,0,false,pure,obj,obj,2,0.888
1,1,1,DOORKNOB,8,11,true,true,0,false,pure,obj,obj,3,0.915
1,1,1,SHOVEL,9,9,true,true,0,false,pure,obj,obj,1,1.287
1,1,1,SHOVEL,9,19,false,true,1,false,pure,obj,obj,1,1.287
1,1,1,WATER GUN,10,n/a,true,false,0,false,pure,obj,obj,1,0.839
1,1,1,INK CARTRIDGE,11,n/a,true,false,0,false,pure,obj,obj,2,0.81
1,1,1,PHONE,12,16,true,true,0,false,pure,obj,obj,4,0.833
1,1,1,PAPER CLIP,13,17,true,true,0,false,pure,obj,obj,3,0.856
1,1,1,MOUSETRAP,14,12,true,true,0,false,pure,obj,obj,1,0.829
1,1,1,SPEAKER,15,n/a,true,false,0,false,pure,obj,obj,2,0.927
1,1,1,CAR SEAT,16,5,true,true,0,false,pure,obj,obj,3,0.678
1,1,1,BAYONET,17,3,true,true,0,false,pure,obj,obj,1,0.828
1,1,1,MIRROR,18,15,true,true,0,false,pure,obj,obj,4,0.836
1,1,1,STONE,19,8,true,true,0,false,pure,obj,obj,1,0.897
1,1,1,WATCH,20,4,true,true,0,false,pure,obj,obj,4,0.794
1,1,1,PILL,21,6,true,true,0,false,pure,obj,obj,3,0.708
1,1,1,SMART CAR,22,2,true,true,0,false,pure,obj,obj,1,1.012
1,1,1,REMOTE,23,n/a,true,false,0,false,pure,obj,obj,4,0.97
1,1,1,CHAIN,24,1,true,true,0,false,pure,obj,obj,4,0.855
1,1,1,CHAIN,24,14,false,true,1,false,pure,obj,obj,4,0.855
1,1,2,SEAN PENN,1,5,true,true,0,false,mixed,mixed,cel,3,1.255
1,1,2,AUDREY HEPBURN,2,n/a,true,false,0,false,mixed,mixed,cel,3,1.04
1,1,2,ST PATRICKS CATHEDRAL,3,11,true,true,0,false,mixed,mixed,loc,2,1.164
1,1,2,LES INVALIDES,4,n/a,true,false,0,false,mixed,mixed,loc,2,0.829
1,1,2,GREAT ZIMBABWE RUINS,5,n/a,true,false,0,false,mixed,mixed,loc,3,0.872
1,1,2,BRYCE CANYON,6,12,true,true,0,false,mixed,mixed,loc,2,1.241
1,1,2,TROPHY,7,14,true,true,0,false,mixed,mixed,obj,3,0.862
1,1,2,BRUSH,8,n/a,true,false,0,false,mixed,mixed,obj,3,0.779
1,1,2,SUPREME COURT,9,n/a,true,false,0,false,mixed,mixed,loc,2,1.245
1,1,2,SAN FRANCISCO,10,10,true,true,0,false,mixed,mixed,loc,4,0.854
1,1,2,TREVI FOUNTAIN,11,n/a,true,false,0,false,mixed,mixed,loc,2,1.049
1,1,2,TAHITI,12,9,true,true,0,false,mixed,mixed,loc,4,0.824
1,1,2,ANDRE3000,13,n/a,true,false,0,false,mixed,mixed,cel,2,1.263
1,1,2,NICOLAS CAGE,14,13,true,true,0,false,mixed,mixed,cel,3,0.752
1,1,2,JUSTIN TIMBERLAKE,15,4,true,true,0,false,mixed,mixed,cel,4,0.898
1,1,2,JULIA ROBERTS,16,3,true,true,0,false,mixed,mixed,cel,4,0.805
1,1,2,LEBRON JAMES,17,6,true,true,0,false,mixed,mixed,cel,2,0.928
1,1,2,JOHN MCCAIN,18,7,true,true,0,false,mixed,mixed,cel,2,1.018
1,1,2,GLASS,19,8,true,true,0,false,mixed,mixed,obj,3,1.051
1,1,2,KLEENEX,20,n/a,true,false,0,false,mixed,mixed,obj,4,0.855
1,1,2,BLENDER,21,n/a,true,false,0,false,mixed,mixed,obj,2,1.171
1,1,2,HELMET,22,n/a,true,false,0,false,mixed,mixed,obj,1,1.139
1,1,2,CHAIR,23,2,true,true,0,false,mixed,mixed,obj,4,0.933
1,1,2,BRICK,24,1,true,true,0,false,mixed,mixed,obj,1,1.043
1,1,3,STOVE,1,4,true,true,0,false,mixed,mixed,obj,4,0.944
1,1,3,TOASTER,2,5,true,true,0,false,mixed,mixed,obj,4,0.673
1,1,3,TILE,3,17,true,true,0,false,mixed,mixed,obj,3,1.025
