subject,trial,study_time,item_type,trial_type,response
subj01,1,1,word,target,0
subj01,2,1,word,target,0
subj01,3,1,word,target,1
subj01,4,1,word,target,1
subj01,5,1,word,target,1
subj01,6,1,word,target,1
subj01,7,1,word,target,1
subj01,8,1,word,target,1
subj01,9,1,word,target,0
subj01,10,1,word,target,1
subj01,11,1,word,target,1
subj01,12,1,word,target,0
subj01,13,1,word,target,1
subj01,14,1,word,target,0
subj01,15,1,word,target,1
subj01,16,1,word,target,0
subj01,17,1,word,target,1
subj01,18,1,word,target,0
subj01,19,1,word,target,1
subj01,20,1,word,target,1
subj01,21,1,word,target,0
subj01,22,1,word,target,1
subj01,23,1,word,target,0
subj01,24,1,word,target,0
subj01,25,1,word,target,1
subj01,26,1,word,target,1
subj01,27,1,word,target,1
subj01,28,1,word,target,1
subj01,29,1,word,target,1
subj01,30,1,word,target,0
subj01,31,1,word,target,0
subj01,32,1,word,target,0
subj01,33,1,word,target,1
subj01,34,1,word,target,1
subj01,35,1,word,target,1
subj01,36,1,word,target,1
subj01,37,1,word,target,1
subj01,38,1,word,target,0
subj01,39,1,word,target,0
subj01,40,1,word,target,1
subj01,41,1,word,target,1
subj01,42,1,word,target,1
subj01,43,1,word,target,1
subj01,44,1,word,target,1
subj01,45,1,word,target,1
subj01,46,1,word,target,1
subj01,47,1,word,target,0
subj01,48,1,word,target,1
subj01,49,1,word,target,1
subj01,50,1,word,target,1
subj01,51,1,word,target,1
subj01,52,1,word,target,1
subj01,53,1,word,target,1
subj01,54,1,word,target,1
subj01,55,1,word,target,0
subj01,56,1,word,target,0
subj01,57,1,word,target,1
subj01,58,1,word,target,0
subj01,59,1,word,target,1
subj01,60,1,word,target,1
subj01,61,1,word,target,0
subj01,62,1,word,target,1
subj01,63,1,word,target,0
subj01,64,1,word,target,0
subj01,65,1,word,target,0
subj01,66,1,word,target,0
subj01,67,1,word,target,1
subj01,68,1,word,target,1
subj01,69,1,word,target,1
subj01,70,1,word,target,0
subj01,71,1,word,target,1
subj01,72,1,word,target,1
subj01,73,1,word,target,1
subj01,74,1,word,target,1
subj01,75,1,word,target,1
subj01,76,1,word,target,0
subj01,77,1,word,target,1
subj01,78,1,word,target,1
subj01,79,1,word,target,1
subj01,80,1,word,target,1
subj01,81,1,word,target,1
subj01,82,1,word,target,0
subj01,83,1,word,target,1
subj01,84,1,word,target,1
subj01,85,1,word,target,1
subj01,86,1,word,target,1
subj01,87,1,word,target,1
subj01,88,1,word,target,0
subj01,89,1,word,target,1
subj01,90,1,word,target,1
subj01,91,1,word,target,1
subj01,92,1,word,target,0
subj01,93,1,word,target,1
subj01,94,1,word,target,0
subj01,95,1,word,target,1
subj01,96,1,word,target,1
subj01,97,1,word,target,1
subj01,98,1,word,target,0
subj01,99,1,word,target,1
subj01,100,1,word,target,0
subj01,101,1,word,lure,0
subj01,102,1,word,lure,1
subj01,103,1,word,lure,1
subj01,104,1,word,lure,1
subj01,105,1,word,lure,0
subj01,106,1,word,lure,0
subj01,107,1,word,lure,0
subj01,108,1,word,lure,1
subj01,109,1,word,lure,1
subj01,110,1,word,lure,0
subj01,111,1,word,lure,1
subj01,112,1,word,lure,0
subj01,113,1,word,lure,0
subj01,114,1,word,lure,0
subj01,115,1,word,lure,1
subj01,116,1,word,lure,0
subj01,117,1,word,lure,0
subj01,118,1,word,lure,1
subj01,119,1,word,lure,0
subj01,120,1,word,lure,1
subj01,121,1,word,lure,1
subj01,122,1,word,lure,0
subj01,123,1,word,lure,0
subj01,124,1,word,lure,0
subj01,125,1,word,lure,0
subj01,126,1,word,lure,0
subj01,127,1,word,lure,0
subj01,128,1,word,lure,0
subj01,129,1,word,lure,0
subj01,130,1,word,lure,1
subj01,131,1,word,lure,0
subj01,132,1,word,lure,0
subj01,133,1,word,lure,0
subj01,134,1,word,lure,0
subj01,135,1,word,lure,0
subj01,136,1,word,lure,1
subj01,137,1,word,lure,1
subj01,138,1,word,lure,1
subj01,139,1,word,lure,0
subj01,140,1,word,lure,1
subj01,141,1,word,lure,0
subj01,142,1,word,lure,0
subj01,143,1,word,lure,0
subj01,144,1,word,lure,0
subj01,145,1,word,lure,1
subj01,146,1,word,lure,0
subj01,147,1,word,lure,0
subj01,148,1,word,lure,0
subj01,149,1,word,lure,1
subj01,150,1,word,lure,0
subj01,151,1,word,lure,0
subj01,152,1,word,lure,1
subj01,153,1,word,lure,0
subj01,154,1,word,lure,1
subj01,155,1,word,lure,1
subj01,156,1,word,lure,0
subj01,157,1,word,lure,0
subj01,158,1,word,lure,0
subj01,159,1,word,lure,0
subj01,160,1,word,lure,1
subj01,161,1,word,lure,0
subj01,162,1,word,lure,1
subj01,163,1,word,lure,0
subj01,164,1,word,lure,0
subj01,165,1,word,lure,0
subj01,166,1,word,lure,1
subj01,167,1,word,lure,0
subj01,168,1,word,lure,0
